rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1164119-breed,The Breed,"Brothers John (Oliver Hudson) and Matt (Eric Lively) have inherited an island cabin from their recently deceased uncle. Along with Matt's girlfriend, Nicki (Michelle Rodriguez), and other mutual friends, the siblings travel to the cabin for a relaxing weekend getaway. But, not long after arriving, the group is besieged by ravenous dogs. They watch in horror as another vacationer, Luke (Nick Boraine), is eaten alive. Soon, they discover a training facility where the dogs have been bred to kill.",,R,Horror,"Nick Mastandrea, Nicholas Mastandea, Nicholas Mastandrea","Robert Conte, Peter Martin Wortmann, Nicholas Mastandrea, Peter Wortmann","Michelle Rodriguez, Oliver Hudson, Taryn Manning, Eric Lively, Hill Harper, Nick Boraine, Lisa Marie Schneider",18/05/2006,23/07/2020,90,First Look Home Entertainment,Rotten,27,15,Spilled,29,8858,6,4,11
m/1210904-splinterheads,Splinterheads,Justin meets a sexy con artist who shows him how to live to the fullest.,,R,Comedy,Brant Sersen,Brant Sersen,"Thomas Middleditch, Rachael Taylor, Christopher McDonald, Lea Thompson, Dean Winters, Jason Mantzoukas, Frankie Faison, Edmund Lyndeck, Pamela Shaw, Jason Rogel, Lennon Parham, John Lutz, Albert Hale, Brendan McFeat-Burke, Noa Seigel, Jenn Schatz, Paul Pontieri, Schuylar Dane Croom, Lauren Hunter, Jenny Jordon, Shiro Aoki, Emmett Harty Jr., Nancy Buccola, Gary Buccola, Lucia Matioli",06/11/2009,26/07/2020,94,Paladin,Rotten,27,11,Spilled,50,713,6,3,8
m/1218013-white_on_rice,White on Rice,"A 40-year-old moocher falls for his brother-in-law's niece, making a bad situation worse.",,PG-13,Comedy,Dave Boyle,"Dave Boyle, Joel Clark","Hiroshi Watanabe, Nae Yuuki, Mio Takada, Lynn Chen, James Kyson, Justin Kwong",11/09/2009,26/07/2020,90,Variance Films,Rotten,45,11,Spilled,52,1184,4,5,6
m/a_midsummer_nights_dream_2014,A Midsummer Night's Dream,Three parallel stories of how far all beings will go for love.,,PG,"Art House & International, Comedy",Julie Taymor,,"Kathryn Hunter, David Harewood, Tina Benko, Joe Grifasi, Max Casella, Zach Appelman",22/06/2015,01/07/2020,144,Fathom Events,Fresh,100,6,Upright,67,109,3,6,0
m/a_nice_girl_like_you,A Nice Girl Like You,"After being accused of being too inhibited by her ex-boyfriend, a violinist creates a rather wild to-do list that sends her on a whirlwind journey of self-discovery.",,R,"Comedy, Romance","Nick Riedell, Chris Riedell",Andrea Marcellus,"Lucy Hale, Leonidas Gulaptis, Mindy Cohn, Adhir Kalyan, Jackie Cruz, Skye P. Marshall, Stephen Friedrich, Leah McKendrick, Jina Panebianco, Nadia Quinn, Stormi Maya, Deborah S. Craig",,15/07/2020,94,Vertical Entertainment,Rotten,11,9,Spilled,51,45,4,1,8
m/a_white_white_day,"A White, White Day (Hvítur, hvítur dagur)",A police chief becomes obsessed with finding out if his dead wife was having an affair.,"A White, White Day plunges viewers into the darkness of grief and jealousy, led by Ingvar Eggert Sigurðsson's brilliantly layered performance.",NR,"Art House & International, Drama, Mystery & Suspense",Hlynur Pálmason,Hlynur Pálmason,"Ingvar Eggert Sigurðsson, Ída Mekkín Hlynsdóttir, Sara Dögg Ásgeirsdóttir, Bjorn Ingi Hilmarsson, Elma Stefania Agustsdottir, Laufey Elíasdóttir, Sigurður Sigurjónsson, Sverrir Thor Sverrisson, Hilmir Snaer Gudnason",17/04/2020,24/07/2020,109,Film Movement,Certified-Fresh,96,67,Upright,62,29,11,64,3
m/all_i_can_say,All I Can Say,"The intimate video diary of Shannon Hoon, the late lead singer of alt-rock band Blind Melon.",,NR,Documentary,"Danny Clinch, Taryn Gould, Colleen Hennessy, Shannon Hoon",,,26/06/2020,26/06/2020,102,Oscilloscope,Fresh,80,15,Upright,100,6,4,12,3
m/american_street_kid,American Street Kid,Teenagers reveal how they became homeless and discuss their daily struggle to survive on the streets of Los Angeles.,,NR,Documentary,Michael Leoni,Michael Leoni,,,21/08/2020,104,Kandoo Films,Fresh,83,6,Upright,95,19,1,5,1
m/amulet,Amulet,Terror strikes when a former soldier takes a job to help a young woman and her housebound mother.,"If its chilly sense of dread never quite becomes spine-tingling terror, Amulet remains smart, solidly disquieting fun for genre fans seeking slow-building horror.",R,"Horror, Mystery & Suspense",Romola Garai,Romola Garai,"Carla Juri, Alec Secareanu, Imelda Staunton, Angeliki Papoulia, Paul O'Kelly, Amanda Quach",24/07/2020,23/07/2020,99,Head Gear Films,Fresh,69,72,Spilled,41,70,10,50,22
m/animation_outlaws,Animation Outlaws,Two hippie friends set out to create an animation festival.,,NR,"Animation, Documentary",Kat Alioshin,Jon V. Peters,"Nick Park, Pete Docter, Seth Green, Joanna Priestley, Andrew Stanton, Weird Al Yankovic, Libby Simon, Barry Ward, Bruno Bozzetto, Joan C. Gratz",,12/07/2020,65,Gravitas Ventures,Fresh,100,6,,,,2,6,0
m/aquaslash,Aquaslash,Terror awaits a group of high school graduates when a psychopath uses the unstoppable speed and turns of a water slide to his murderous advantage.,,NR,Horror,Renaud Gauthier,Renaud Gauthier,"Nicolas Fontaine, Brittany Drisdelle, Nick Walker, Madeline Harvey, Paul Zinno, Chip Chuipka, Howard Rosenstein, Ryan Ali, Cameron Geller, Lanisa Dawn, Ivan Ossa, Samantha Hodhod",23/06/2020,23/06/2020,71,Red Hound Films,Rotten,29,7,Spilled,27,11,0,2,5
m/archive,Archive,In 2038 a man hopes to reunite with his dead wife by building a human-equivalent A.I.,"Archive executes its fairly basic program efficiently, offering sci-fi fans an engaging meditation on love and human nature.",NR,Science Fiction & Fantasy,Gavin Rothery,Gavin Rothery,"Rhona Mitra, Theo James, Toby Jones, Stacy Martin, Peter Ferdinando, Richard Glover, Hans Peterson, Jeremy Wheeler, Lia Williams",10/07/2020,10/07/2020,105,Independent,Fresh,71,24,Upright,70,200,4,17,7
m/around_the_sun,Around the Sun,A film location scout falls for a flirtatious woman while touring a crumbling French château.,,NR,"Drama, Science Fiction & Fantasy, Romance",Oliver Krimpas,Jonathan Kiefer,"Cara Theobold, Gethin Anthony",,04/08/2020,79,Giant Pictures,Fresh,93,15,Upright,80,5,1,14,1
m/ask_no_questions,Ask No Questions,"Chinese officials arrest, detain and brainwash a former TV insider who believes a fiery public suicide was staged for political reasons.",,NR,Documentary,"Jason Loftus, Eric Pedicelli",,,,28/06/2020,79,Lofty Sky Pictures,Fresh,100,7,Upright,86,14,0,7,0
m/babysplitters,Babysplitters,Two couples who are ambivalent about having children decide to share one baby. It seems like the perfect compromise until things spiral out of control.,,NR,Comedy,Sam Friedlander,Sam Friedlander,"Danny Pudi, Emily C. Chang, Maiara Walsh, Eddie Alfano, Maya Stojan, Brian Thomas Smith, Mark Feuerstein, Andrée Vermeulen",,23/07/2020,119,Gravitas Ventures,Fresh,69,16,Upright,89,103,1,11,5
m/babyteeth,Babyteeth,,"Powerfully acted and sensitively directed, Babyteeth offers audiences a coming-of-age story that's messier -- and more rewarding -- than most.",NR,"Comedy, Drama",Shannon Murphy,Rita Kalnejais,"Eliza Scanlen, Toby Wallace, Emily Barclay, Eugene Gilfedder, Essie Davis, Ben Mendelsohn",19/06/2020,18/06/2020,117,IFC Films,Certified-Fresh,94,130,Upright,84,108,28,122,8
